postId,viewCount
1,24291
2,35956
3,66861
4,84432
5,8639
6,47134
7,76680
8,84533
9,94914
10,47919
11,90689
12,12407
13,67443
14,54937
15,31516
16,90617
17,43502
18,1844
19,28513
20,9806
21,67948
22,50166
23,95343
24,9791
25,90305
26,60369
27,96304
28,7355
29,60510
30,91657
31,33160
32,52796
33,50710
34,90256
35,84231
36,14514
37,41470
38,65600
39,41662
40,814
41,73358
42,1749
43,65198
44,83405
45,98436
46,6533
47,81531
48,59807
49,89960
50,79388
51,33760
52,26067
53,16777
54,7288
55,6813
56,15617
57,45158
58,16222
59,33291
60,5043
61,32905
62,53815
63,4591
64,1073
65,50862
66,60330
67,12365
68,58983
69,36770
70,62327
71,12756
72,48854
73,53767
74,44685
75,63383
76,50324
77,19
78,78057
79,25980
80,45472
81,5847
82,2253
83,41293
84,90438
85,19805
86,17528
87,41548
88,3531
89,40875
90,80615
91,66148
92,69878
93,91717
94,12360
95,83770
96,65371
97,72815
98,52214
99,55683
100,58469
101,31727
102,89334
103,45198
104,83488
105,63281
106,53133
107,89154
108,89888
109,64580
110,82396
111,94626
112,72785
113,97730
114,32441
115,44973
116,38108
117,7277
118,61515
119,85091
120,52850
121,73236
122,62977
123,57024
124,88536
125,33397
126,19856
127,73005
128,25743
129,76668
130,47464
131,58988
132,82079
133,45866
134,46129
135,88209
136,50016
137,89393
138,26439
139,14865
140,78405
141,18747
142,5103
143,55762
144,2405
145,66251
146,69301
147,85505
148,5031
149,27931
150,77412
151,96547
152,93257
153,57188
154,90977
155,54595
156,64269
157,10780
158,80708
159,67274
160,26465
161,16762
162,58675
163,94285
164,90698
165,71509
166,59421
167,20512
168,29324
169,97354
170,66576
171,36393
172,68823
173,38236
174,99384
175,27951
176,48626
177,16822
178,77557
179,31696
180,26429
181,17068
182,77431
183,65490
184,49254
185,37952
186,53241
187,90225
188,23146
189,48608
190,73463
191,74263
192,76805
193,54668
194,27437
195,35434
196,98904
197,51125
198,60877
199,33248
200,48246
201,52193
202,91996
203,51501
204,68843
205,15851
206,62058
207,27453
208,21801
209,79560
210,63277
211,38685
212,86577
213,388
214,18841
215,74579
216,44666
217,90219
218,63518
219,41294
220,45089
221,99459
222,90429
223,91927
224,83470
225,13975
226,70056
227,84487
228,37086
229,28654
230,63254
231,5875
232,98898
233,67034
234,60191
235,72515
236,34868
237,6221
238,63162
239,44096
240,44449
241,85316
242,1233
243,6763
244,6999
245,62856
246,27901
247,5962
248,97724
249,1994
250,86212
251,30557
252,47080
253,80043
254,3723
255,16239
256,71025
257,20574
258,82073
259,69512
260,61233
261,20421
262,9419
263,80415
264,25142
265,86839
266,9965
267,653
268,89029
269,76516
270,60315
271,49053
272,57036
273,1903
274,91957
275,88255
276,51363
277,73466
278,31128
279,2459
280,25246
281,77344
282,1599
283,72547
284,93042
285,731
286,85109
287,2690
288,5057
289,31910
290,21365
291,41264
292,46564
293,61916
294,28544
295,10439
296,1652
297,16703
298,26874
299,29008
300,64628
301,97429
302,83074
303,47415
304,28255
305,46541
306,51948
307,76733
308,88906
309,3967
310,1117
311,41707
312,22933
313,91090
314,1602
315,25188
316,70355
317,60983
318,83086
319,61748
320,99539
321,19026
322,2862
323,43237
324,79787
325,86744
326,50730
327,44880
328,61888
329,18260
330,77434
331,43664
332,25589
333,42020
334,65570
335,33746
336,77005
337,18241
338,84524
339,9704
340,72670
341,74556
342,97121
343,94013
344,52884
345,46051
346,39715
347,70212
348,27647
349,48706
350,6602
351,24425
352,26939
353,53927
354,71865
355,80553
356,69786
357,68862
358,81628
359,15517
360,2320
361,99707
362,52032
363,37104
364,65274
365,77654
366,36559
367,21362
368,44139
369,46671
370,52999
371,6470
372,59925
373,24339
374,20182
375,13302
376,41809
377,98584
378,44181
379,82438
380,79211
381,41986
382,45885
383,39910
384,16300
385,84328
386,19786
387,45888
388,51269
389,29680
390,31723
391,12114
392,53782
393,24887
394,43906
395,34230
396,61080
397,76493
398,88574
399,58236
400,26861
401,40829
402,98035
403,99321
404,29154
405,90538
406,8307
407,28120
408,84573
409,70324
410,3563
411,44207
412,21641
413,34874
414,34492
415,28845
416,15707
417,11834
418,96725
419,76944
420,79809
421,71988
422,58442
423,28531
424,61798
425,34220
426,338
427,16196
428,77572
429,71918
430,88130
431,20403
432,32070
433,68652
434,24610
435,52742
436,59353
437,18115
438,19145
439,80201
440,11279
441,28220
442,48283
443,50563
444,96975
445,25294
446,68603
447,66789
448,46492
449,8448
450,33773
451,3643
452,1600
453,15212
454,77389
455,60004
456,64853
457,31872
458,11814
459,22271
460,88913
461,86334
462,81392
463,88219
464,90475
465,60354
466,49513
467,75953
468,20366
469,21540
470,32590
471,48621
472,74137
473,16179
474,37239
475,90406
476,55472
477,65378
478,10925
479,39663
480,70883
481,54751
482,78504
483,94182
484,10840
485,6558
486,37353
487,91530
488,85399
489,84756
490,7984
491,65866
492,35379
493,1119
494,26427
495,51065
496,4112
497,18787
498,71292
499,70621
500,90933
501,80751
502,38998
503,21510
504,97872
505,40542
506,58644
507,20284
508,46656
509,6618
510,57510
511,65873
512,451
513,79931
514,54649
515,9045
516,20188
517,780
518,15377
519,19176
520,16928
521,91567
522,71461
523,30475
524,15518
525,14327
526,19031
527,45840
528,93001
529,71762
530,64239
531,73807
532,40611
533,56554
534,36628
535,84186
536,84519
537,39873
538,1350
539,79560
540,8115
541,3674
542,36346
543,4878
544,50704
545,25367
546,55091
547,17388
548,16960
549,64892
550,57370
551,27907
552,56483
553,43506
554,62201
555,45188
556,77798
557,60648
558,59609
559,5668
560,71433
561,2484
562,94838
563,70667
564,70218
565,36439
566,92700
567,91308
568,65395
569,72095
570,7681
571,30927
572,2685
573,2310
574,3455
575,14186
576,56608
577,77367
578,40811
579,74222
580,14168
581,16913
582,73367
583,38814
584,51477
585,20452
586,6880
587,38234
588,33439
589,17240
590,19285
591,27929
592,23396
593,16268
594,98725
595,67797
596,68992
597,87260
598,80963
599,71808
600,38280
601,24317
602,62169
603,29717
604,84211
605,65858
606,87110
607,61993
608,30469
609,54272
610,22198
611,58081
612,21881
613,9678
614,60092
615,9085
616,8298
617,84486
618,17102
619,57521
620,99550
621,86281
622,43293
623,66964
624,44112
625,38207
626,92688
627,18097
628,77432
629,36444
630,3004
631,46779
632,37305
633,54462
634,29090
635,12894
636,29927
637,67570
638,27685
639,88240
640,82643
641,99190
642,13606
643,53127
644,48021
645,30457
646,80062
647,21508
648,29685
649,70495
650,72599
651,65420
652,65333
653,83521
654,19015
655,80696
656,93279
657,30769
658,16362
659,91810
660,34150
661,25467
662,49596
663,53088
664,88059
665,53702
666,78736
667,36973
668,48591
669,74330
670,69391
671,35778
672,51904
673,8860
674,21232
675,60932
676,84898
677,60085
678,49744
679,8471
680,50379
681,6833
682,82319
683,20689
684,4954
685,3554
686,17767
687,34633
688,18213
689,40453
690,92617
691,99085
692,81246
693,28348
694,78486
695,76179
696,9858
697,42586
698,91414
699,51976
700,42654
701,96254
702,78457
703,15492
704,62142
705,66263
706,4232
707,69278
708,57875
709,68038
710,86151
711,30907
712,50591
713,6016
714,26857
715,47202
716,62528
717,87314
718,66640
719,43435
720,68568
721,66271
722,99391
723,40470
724,15317
725,56869
726,52350
727,72249
728,74305
729,89854
730,1130
731,73361
732,60648
733,60354
734,62262
735,25176
736,76161
737,64074
738,67266
739,52503
740,59772
741,30543
742,93302
743,60915
744,98566
745,45233
746,97019
747,9956
748,51068
749,70068
750,77750
751,20803
752,50121
753,73636
754,11170
755,59873
756,17117
757,47161
758,24009
759,1492
760,21709
761,93877
762,37118
763,40940
764,69025
765,31851
766,84090
767,82244
768,39327
769,9850
770,9938
771,79829
772,32945
773,4758
774,74417
775,17444
776,25684
777,69704
778,81015
779,94235
780,7200
781,97035
782,40238
783,97748
784,70159
785,11831
786,964
787,76402
788,45100
789,51260
790,81802
791,97898
792,72154
793,39620
794,33992
795,24831
796,67038
797,26843
798,95194
799,30316
800,89482
801,76778
802,11435
803,71577
804,18854
805,40446
806,71405
807,7536
808,92285
809,4104
810,76722
811,88266
812,92545
813,68573
814,51435
815,2019
816,69084
817,78782
818,30170
819,16780
820,85589
821,75442
822,42229
823,1055
824,76187
825,85518
826,8922
827,85676
828,35537
829,9111
830,93289
831,92338
832,87542
833,48735
834,50051
835,61482
836,37072
837,45835
838,22525
839,67805
840,73460
841,66709
842,58241
843,74710
844,34516
845,87565
846,49153
847,4018
848,63749
849,22106
850,47992
851,42996
852,37900
853,74463
854,71935
855,44629
856,90981
857,40344
858,7433
859,81913
860,12464
861,41795
862,67548
863,79356
864,48952
865,47388
866,94381
867,25131
868,51905
869,62049
870,87606
871,80655
872,50030
873,28084
874,80086
875,38211
876,64716
877,3679
878,12069
879,23879
880,58782
881,36529
882,62386
883,67950
884,21509
885,8934
886,53180
887,1202
888,18124
889,37286
890,47049
891,31304
892,87790
893,39556
894,35430
895,31341
896,63108
897,2662
898,45756
899,49087
900,99279
901,22532
902,87659
903,7080
904,35838
905,70601
906,86630
907,83669
908,11229
909,57943
910,93930
911,90566
912,85978
913,48519
914,69628
915,11614
916,50869
917,7661
918,96894
919,87545
920,61219
921,16250
922,16974
923,68573
924,72319
925,42908
926,67900
927,11785
928,79054
929,19712
930,17765
931,29675
932,1229
933,88344
934,12049
935,25038
936,12121
937,43447
938,28357
939,35984
940,23099
941,56888
942,80581
943,92945
944,95342
945,31871
946,71754
947,79783
948,34158
949,76759
950,52060
951,8015
952,32543
953,36091
954,39148
955,59198
956,2295
957,62224
958,86353
959,52597
960,97385
961,43983
962,68893
963,14323
964,9839
965,66561
966,60186
967,88164
968,79955
969,67523
970,79591
971,50519
972,99642
973,18088
974,26089
975,66542
976,57838
977,24990
978,40048
979,85230
980,3206
981,99272
982,73351
983,9334
984,10324
985,58571
986,52631
987,74701
988,88938
989,23781
990,33465
991,67220
